Polling.Firm,Commissioners,Fieldwork.Start,Fieldwork.End,Scope,Sample.Size,Sample.Size.Qualification,Participation,Precision,PSD,ALDE,USR,PNL,UDMR,PMP,PLUS,PRO,USR.PLUS,Other,Source
IMAS,Europa FM,06/11/2020,27/11/2020,National,1010,Provided,Not Available,0.10%,23%,Not Available,Not Available,28.50%,4.70%,4.60%,Not Available,9.50%,18%,Not Available,"https://ro.wikipedia.org/wiki/Alegeri_parlamentare_%C3%AEn_Rom%C3%A2nia,_2020#Sondaje_%C8%99i_predic%C8%9Bii"
IRSOP,PNL,22/11/2020,28/11/2020,National,1004,Provided,Not Available,0.10%,30%,Not Available,Not Available,33%,5%,3%,Not Available,7%,17%,5%,"https://ro.wikipedia.org/wiki/Alegeri_parlamentare_%C3%AEn_Rom%C3%A2nia,_2020#Sondaje_%C8%99i_predic%C8%9Bii"
Verifield,Pro Romania,20/11/2020,25/11/2020,National,1100,Provided,Not Available,0.10%,22%,Not Available,Not Available,31.30%,5.40%,4.80%,Not Available,9.30%,17%,10.20%,https://en.wikipedia.org/wiki/2020_Romanian_legislative_election
ADS,PER,11/11/2020,18/11/2020,National,1280,Provided,Not Available,0.10%,27.30%,Not Available,Not Available,31.20%,5.10%,4.80%,Not Available,4.60%,12.50%,14.80%,https://europeelects.eu/romania/
PNL,PNL,09/11/2020,09/11/2020,National,Not Available,N/A,Not Available,Not Available,27.00%,Not Available,Not Available,32.00%,6.00%,6.00%,Not Available,5.00%,21,3.00%,https://en.wikipedia.org/wiki/2020_Romanian_legislative_election
CURS,STIRIPESURSE.RO,01/11/2020,10/11/2020,National,1067,Provided,Not Available,1%,29%,3%,Not Available,32%,5%,7%,Not Available,6%,16%,Not Available,https://europeelects.eu/romania/
BCS,PMP,25/10/2020,30/10/2020,National,1482,Provided,Not Available,0.10%,28.60%,Not Available,Not Available,32.20%,4.80%,7.40%,Not Available,5.20%,17.60%,4.20%,https://europeelects.eu/romania/
IMAS,Europa FM,07/10/2020,28/10/2020,National,1010,Provided,Not Available,0.10%,21.70%,2.50%,Not Available,32.60%,5.10%,4.80%,Not Available,8.90%,20.40%,4.30%,https://europeelects.eu/romania/
USR,USR,09/10/2020,17/10/2020,National,Not Available,N/A,Not Available,Not Available,23.00%,Not Available,,30.00%,5.00%,5.00%,Not Available,8.00%,23.00%,6.00%,https://en.wikipedia.org/wiki/2020_Romanian_legislative_election
CURS,STIRIPESURSE.RO,08/10/2020,11/10/2020,National,800,Provided,Not Available,1%,31%,3%,Not Available,32%,5%,6%,Not Available,6%,12%,5%,https://europeelects.eu/romania/
IMAS,Europa FM,07/09/2020,23/09/2020,National,1010,Provided,Not Available,0.10%,19.60%,3%,Not Available,34.70%,5.30%,4.50%,Not Available,9.50%,17%,6.40%,https://en.wikipedia.org/wiki/2020_Romanian_legislative_election
IMAS,Europa FM,06/08/2020,26/08/2020,National,1010,Provided,Not Available,0.10%,20.80%,2.40%,Not Available,33.60%,5.70%,4.10%,Not Available,10.60%,18.30%,4.60%,https://europeelects.eu/romania/
CURS,NA,29/07/2020,05/08/2020,National,1100,Provided,Not Available,1%,28%,5%,Not Available,31%,4%,5%,Not Available,7%,14%,6%,https://europeelects.eu/romania/
IMAS,Europa FM,10/07/2020,29/07/2020,National,1010,Provided,Not Available,0.10%,23.40%,3.40%,Not Available,33.40%,5.60%,3.90%,Not Available,9.70%,17.20%,3.40%,https://europeelects.eu/romania/
CURS,STIRIPESURSE.RO,19/06/2020,30/06/2020,National,1100,Provided,Not Available,1%,28%,5%,Not Available,32%,5%,5%,Not Available,7%,16%,2%,https://europeelects.eu/romania/
IMAS,Europa FM,05/06/2020,27/06/2020,National,1010,Provided,Not Available,0.10%,21.90%,4.70%,18.10%,33%,3.70%,11.20%,3.40%,4%,Not Available,11.10%,https://europeelects.eu/romania/
Avangarde,NA,15/05/2020,26/05/2020,National,1000,Provided,Not Available,1%,29%,4%,Not Available,35%,5%,4%,Not Available,6%,13%,4%,https://europeelects.eu/romania/
IMAS,Europa FM,08/05/2020,27/05/2020,National,1010,Provided,Not Available,0.10%,23%,4.20%,11.60%,32.60%,5.10%,3.70%,5.10%,11.20%,Not Available,3.10%,https://europeelects.eu/romania/
